LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
1,100,128,1,17,False,False,True,True,0.01,0,1.0,2500,17.324123859405518,1149414,583552,8192,1024,cuda
1,100,128,1,17,False,False,True,True,0.01,1,1.0,2500,17.49562096595764,1149414,583552,8192,1024,cuda
1,100,128,1,17,False,False,True,True,0.01,2,1.0,2500,17.51158857345581,1149414,583552,8192,1024,cuda
1,100,128,1,18,False,False,True,True,0.01,0,1.0,2500,18.31191921234131,1215462,616320,8192,1024,cuda
1,100,128,1,18,False,False,True,True,0.01,1,1.0,2500,18.078920364379883,1215462,616320,8192,1024,cuda
1,100,128,1,18,False,False,True,True,0.01,2,1.0,2500,18.042928457260132,1215462,616320,8192,1024,cuda
1,100,128,1,19,False,False,True,True,0.01,0,1.0,2500,19.154375553131104,1281510,649088,8192,1024,cuda
1,100,128,1,19,False,False,True,True,0.01,1,1.0,2500,19.205546379089355,1281510,649088,8192,1024,cuda
1,100,128,1,19,False,False,True,True,0.01,2,1.0,2500,19.245336532592773,1281510,649088,8192,1024,cuda
2,100,128,1,1,False,False,True,True,0.01,0,0.00927734375,50000,58.70847535133362,92902,59520,8192,1024,cuda
2,100,128,1,1,False,False,True,True,0.01,1,0.01092529296875,50000,58.15136170387268,92902,59520,8192,1024,cuda
2,100,128,1,1,False,False,True,True,0.01,2,0.009765625,50000,59.0297646522522,92902,59520,8192,1024,cuda
2,100,128,1,2,False,False,True,True,0.01,0,0.9187500476837158,50000,78.42198085784912,158950,92288,8192,1024,cuda
2,100,128,1,3,False,False,True,True,0.01,0,1.0,2500,4.829685926437378,224998,125056,8192,1024,cuda
2,100,128,1,3,False,False,True,True,0.01,1,1.0,2500,5.0367279052734375,224998,125056,8192,1024,cuda
2,100,128,1,3,False,False,True,True,0.01,2,1.0,2500,4.938695192337036,224998,125056,8192,1024,cuda
2,100,128,1,4,False,False,True,True,0.01,0,1.0,2500,6.048950433731079,291046,157824,8192,1024,cuda
2,100,128,1,4,False,False,True,True,0.01,1,1.0,2500,6.0065178871154785,291046,157824,8192,1024,cuda
2,100,128,1,4,False,False,True,True,0.01,2,1.0,2500,5.929812431335449,291046,157824,8192,1024,cuda
2,100,128,1,5,False,False,True,True,0.01,0,1.0,2500,6.852662086486816,357094,190592,8192,1024,cuda
2,100,128,1,5,False,False,True,True,0.01,1,1.0,2500,6.9206929206848145,357094,190592,8192,1024,cuda
2,100,128,1,5,False,False,True,True,0.01,2,1.0,2500,6.730055332183838,357094,190592,8192,1024,cuda
2,100,128,1,6,False,False,True,True,0.01,0,0.81488037109375,50000,156.47640371322632,423142,223360,8192,1024,cuda
2,100,128,1,6,False,False,True,True,0.01,1,0.61224365234375,50000,156.1158413887024,423142,223360,8192,1024,cuda
